"Time","141006A","","141006A","","141006A","",""
"and","140.00","","140.00","","140.00","",""
"Date","Discharge (Cumecs)","","Discharge (Cumecs)","","Discharge (Cumecs)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 19/07/1980,      0.0351,     20,      0.0340,     20,      0.0385,     20, 
00:00:00 20/07/1980,      0.0340,     20,      0.0340,     20,      0.0340,     20, 
00:00:00 21/07/1980,      0.0340,     20,      0.0340,     20,      0.0340,     20, 
00:00:00 22/07/1980,      0.0340,     20,      0.0340,     20,      0.0340,     20, 
00:00:00 23/07/1980,      0.0340,     20,      0.0340,     20,      0.0340,     20, 
00:00:00 24/07/1980,      0.0340,     20,      0.0340,     20,      0.0340,     20, 
00:00:00 25/07/1980,      0.0372,     20,      0.0340,     20,      0.0545,     20, 
00:00:00 26/07/1980,      0.1589,     20,      0.0545,     20,      0.2410,     20, 
00:00:00 27/07/1980,      0.2124,     20,      0.1830,     20,      0.2410,     20, 
00:00:00 28/07/1980,      0.1534,     20,      0.1265,     20,      0.1830,     20, 
00:00:00 29/07/1980,      0.1068,     20,      0.0935,     20,      0.1265,     20, 
00:00:00 30/07/1980,      0.0902,     20,      0.0845,     20,      0.1265,     20, 
00:00:00 31/07/1980,      0.2604,     20,      0.1265,     20,      0.3575,     20, 
00:00:00 01/08/1980,      0.1962,     20,      0.1390,     20,      0.2770,     20, 
00:00:00 02/08/1980,      0.1074,     20,      0.0845,     20,      0.1390,     20, 
00:00:00 03/08/1980,      0.0705,     20,      0.0610,     20,      0.0845,     20, 
00:00:00 04/08/1980,      0.0562,     20,      0.0545,     20,      0.0610,     20, 
00:00:00 05/08/1980,      0.0545,     20,      0.0545,     20,      0.0545,     20, 
00:00:00 06/08/1980,      0.0545,     20,      0.0545,     20,      0.0545,     20, 
00:00:00 07/08/1980,      0.0530,     20,      0.0485,     20,      0.0545,     20, 
00:00:00 08/08/1980,      0.0447,     20,      0.0435,     20,      0.0485,     20, 
00:00:00 09/08/1980,      0.0435,     20,      0.0435,     20,      0.0435,     20, 
00:00:00 10/08/1980,      0.0435,     20,      0.0435,     20,      0.0435,     20, 
00:00:00 11/08/1980,      0.0435,     20,      0.0435,     20,      0.0435,     20, 
00:00:00 12/08/1980,      0.0435,     20,      0.0435,     20,      0.0435,     20, 
00:00:00 13/08/1980,      0.0435,     20,      0.0435,     20,      0.0435,     20, 
00:00:00 14/08/1980,      0.0422,     20,      0.0385,     20,      0.0435,     20, 
00:00:00 15/08/1980,      0.0351,     20,      0.0340,     20,      0.0385,     20, 
00:00:00 16/08/1980,      0.0340,     20,      0.0340,     20,      0.0340,     20, 
00:00:00 17/08/1980,      0.0351,     20,      0.0340,     20,      0.0385,     20, 
00:00:00 18/08/1980,      0.0422,     20,      0.0385,     20,      0.0435,     20, 
00:00:00 19/08/1980,      0.0817,     20,      0.0435,     20,      0.1035,     20, 
00:00:00 20/08/1980,      0.1453,     20,      0.1035,     20,      0.2590,     20, 
00:00:00 21/08/1980,      0.1914,     20,      0.1265,     20,      0.2590,     20, 
00:00:00 22/08/1980,      0.0925,     20,      0.0760,     20,      0.1265,     20, 
00:00:00 23/08/1980,      0.0685,     20,      0.0610,     20,      0.0760,     20, 
00:00:00 24/08/1980,      0.0562,     20,      0.0545,     20,      0.0610,     20, 
00:00:00 25/08/1980,      0.0530,     20,      0.0485,     20,      0.0545,     20, 
00:00:00 26/08/1980,      0.0434,     20,      0.0385,     20,      0.0485,     20, 
00:00:00 27/08/1980,      0.0351,     20,      0.0340,     20,      0.0385,     20, 
00:00:00 28/08/1980,      0.0340,     20,      0.0340,     20,      0.0340,     20, 
00:00:00 29/08/1980,      0.0340,     20,      0.0340,     20,      0.0340,     20, 
00:00:00 30/08/1980,      0.0330,     20,      0.0300,     20,      0.0340,     20, 
00:00:00 31/08/1980,      0.0270,     20,      0.0260,     20,      0.0300,     20, 
00:00:00 01/09/1980,      0.0252,     20,      0.0230,     20,      0.0260,     20, 
00:00:00 02/09/1980,      0.0207,     20,      0.0200,     20,      0.0230,     20, 
00:00:00 03/09/1980,      0.0200,     20,      0.0200,     20,      0.0200,     20, 
00:00:00 04/09/1980,      0.0207,     20,      0.0200,     20,      0.0230,     20, 
00:00:00 05/09/1980,      0.0252,     20,      0.0230,     20,      0.0260,     20, 
00:00:00 06/09/1980,      0.0260,     20,      0.0260,     20,      0.0260,     20, 
00:00:00 07/09/1980,      0.0260,     20,      0.0260,     20,      0.0260,     20, 
00:00:00 08/09/1980,      0.0252,     20,      0.0230,     20,      0.0260,     20, 
00:00:00 09/09/1980,      0.0207,     20,      0.0200,     20,      0.0230,     20, 
00:00:00 10/09/1980,      0.0200,     20,      0.0200,     20,      0.0200,     20, 
00:00:00 11/09/1980,      0.0190,     20,      0.0160,     20,      0.0200,     20, 
00:00:00 12/09/1980,      0.0110,     20,      0.0075,     20,      0.0160,     20, 
00:00:00 13/09/1980,      0.0075,     20,      0.0075,     20,      0.0075,     20, 
00:00:00 14/09/1980,      0.0075,     20,      0.0075,     20,      0.0075,     20, 
00:00:00 15/09/1980,      0.0075,     20,      0.0075,     20,      0.0075,     20, 
00:00:00 16/09/1980,      0.0075,     20,      0.0075,     20,      0.0075,     20, 
00:00:00 17/09/1980,      0.0075,     20,      0.0075,     20,      0.0075,     20, 
00:00:00 18/09/1980,      0.0075,     20,      0.0075,     20,      0.0075,     20, 
00:00:00 19/09/1980,      0.0075,     20,      0.0075,     20,      0.0075,     20, 
00:00:00 20/09/1980,      0.0075,     20,      0.0075,     20,      0.0075,     20, 
00:00:00 21/09/1980,      0.0075,     20,      0.0075,     20,      0.0075,     20, 
00:00:00 22/09/1980,      0.0071,     20,      0.0060,     20,      0.0075,     20, 
00:00:00 23/09/1980,      0.0046,     20,      0.0035,     20,      0.0060,     20, 
00:00:00 24/09/1980,      0.0040,     20,      0.0030,     20,      0.0045,     20, 
00:00:00 25/09/1980,      0.0045,     20,      0.0045,     20,      0.0045,     20, 
00:00:00 26/09/1980,      0.0045,     20,      0.0045,     20,      0.0045,     20, 
00:00:00 27/09/1980,      0.0042,     20,      0.0035,     20,      0.0045,     20, 
00:00:00 28/09/1980,      0.0027,     20,      0.0025,     20,      0.0035,     20, 
00:00:00 29/09/1980,      0.0025,     20,      0.0025,     20,      0.0025,     20, 
00:00:00 30/09/1980,      0.0025,     20,      0.0025,     20,      0.0025,     20, 
00:00:00 01/10/1980,      0.0025,     20,      0.0025,     20,      0.0025,     20, 
00:00:00 02/10/1980,      0.0023,     20,      0.0020,     20,      0.0025,     20, 
00:00:00 03/10/1980,      0.0013,     20,      0.0010,     20,      0.0020,     20, 
00:00:00 04/10/1980,      0.0010,     20,      0.0010,     20,      0.0010,     20, 
00:00:00 05/10/1980,      0.0010,     20,      0.0010,     20,      0.0010,     20, 
00:00:00 06/10/1980,      0.0010,     20,      0.0010,     20,      0.0010,     20, 
00:00:00 07/10/1980,      0.0010,     20,      0.0010,     20,      0.0010,     20, 
00:00:00 08/10/1980,      0.0002,     20,      0.0000,     20,      0.0010,     20, 
00:00:00 09/10/1980,      0.0000,     20,      0.0000,     20,      0.0000,     20, 
00:00:00 10/10/1980,      0.0000,     20,      0.0000,     20,      0.0000,     20, 
00:00:00 11/10/1980,      0.0001,     20,      0.0000,     20,      0.0005,     20, 
00:00:00 12/10/1980,      0.0009,     20,      0.0005,     20,      0.0010,     20, 
00:00:00 13/10/1980,      0.0023,     20,      0.0010,     20,      0.0110,     20, 
00:00:00 14/10/1980,      0.1221,     20,      0.0110,     20,      0.2205,     20, 
00:00:00 15/10/1980,      0.0861,     20,      0.0575,     20,      0.1295,     20, 
00:00:00 16/10/1980,      0.0423,     20,      0.0315,     20,      0.0575,     20, 
00:00:00 17/10/1980,      0.0259,     20,      0.0240,     20,      0.0315,     20, 
00:00:00 18/10/1980,      0.0244,     20,      0.0240,     20,      0.0275,     20, 
00:00:00 19/10/1980,      0.0308,     20,      0.0275,     20,      0.0315,     20, 
00:00:00 20/10/1980,      0.0370,     20,      0.0310,     20,      0.0400,     20, 
00:00:00 21/10/1980,      0.0575,     20,      0.0400,     20,      0.0635,     20, 
00:00:00 22/10/1980,      0.0494,     20,      0.0395,     20,      0.0580,     20, 
00:00:00 23/10/1980,      0.0330,     20,      0.0305,     20,      0.0395,     20, 
00:00:00 24/10/1980,      0.0305,     20,      0.0305,     20,      0.0305,     20, 
00:00:00 25/10/1980,      0.0374,     20,      0.0305,     20,      0.0961,     20, 
00:00:00 26/10/1980,      1.3389,     20,      0.0961,     20,      2.9240,     20, 
00:00:00 27/10/1980,      0.3939,     10,      0.2405,     10,      0.9967,     10, 
00:00:00 28/10/1980,      0.1774,     20,      0.1270,     20,      0.2405,     20, 
00:00:00 29/10/1980,      0.0978,     20,      0.0765,     20,      0.1270,     20, 
00:00:00 30/10/1980,      0.0619,     20,      0.0490,     20,      0.0765,     20, 
00:00:00 31/10/1980,      0.0410,     20,      0.0385,     20,      0.0490,     20, 
00:00:00 01/11/1980,      0.0372,     20,      0.0340,     20,      0.0385,     20, 
00:00:00 02/11/1980,      0.0285,     20,      0.0225,     20,      0.0340,     20, 
00:00:00 03/11/1980,      0.0217,     20,      0.0190,     20,      0.0225,     20, 
00:00:00 04/11/1980,      0.0156,     20,      0.0125,     20,      0.0190,     20, 
00:00:00 05/11/1980,      0.0102,     20,      0.0095,     20,      0.0125,     20, 
00:00:00 06/11/1980,      0.0095,     20,      0.0095,     20,      0.0095,     20, 
00:00:00 07/11/1980,      0.0095,     20,      0.0095,     20,      0.0095,     20, 
00:00:00 08/11/1980,      0.0095,     20,      0.0095,     20,      0.0095,     20, 
00:00:00 09/11/1980,      0.0083,     20,      0.0055,     20,      0.0095,     20, 
00:00:00 10/11/1980,      0.0081,     20,      0.0055,     20,      0.0112,     20, 
00:00:00 11/11/1980,      0.0337,     20,      0.0112,     20,      0.0470,     20, 
00:00:00 12/11/1980,      0.0369,     20,      0.0365,     20,      0.0370,     20, 
00:00:00 13/11/1980,      0.0355,     20,      0.0325,     20,      0.0365,     20, 
00:00:00 14/11/1980,      0.0294,     20,      0.0285,     20,      0.0325,     20, 
00:00:00 15/11/1980,      0.0227,     20,      0.0145,     20,      0.0285,     20, 
00:00:00 16/11/1980,      0.0135,     20,      0.0110,     20,      0.0145,     20, 
00:00:00 17/11/1980,      0.0092,     20,      0.0085,     20,      0.0110,     20, 
00:00:00 18/11/1980,      0.0080,     20,      0.0065,     20,      0.0085,     20, 
00:00:00 19/11/1980,      0.0054,     20,      0.0050,     20,      0.0065,     20, 
00:00:00 20/11/1980,      0.0050,     20,      0.0050,     20,      0.0050,     20, 
00:00:00 21/11/1980,      0.0050,     20,      0.0050,     20,      0.0050,     20, 
00:00:00 22/11/1980,      0.0044,     20,      0.0030,     20,      0.0050,     20, 
00:00:00 23/11/1980,      0.0070,     20,      0.0035,     20,      0.0085,     20, 
00:00:00 24/11/1980,      0.0073,     20,      0.0050,     20,      0.0085,     20, 
00:00:00 25/11/1980,      0.0034,     20,      0.0025,     20,      0.0050,     20, 
00:00:00 26/11/1980,      0.0025,     20,      0.0025,     20,      0.0025,     20, 
00:00:00 27/11/1980,      0.0028,     20,      0.0025,     20,      0.0035,     20, 
00:00:00 28/11/1980,      0.0053,     20,      0.0035,     20,      0.0105,     20, 
00:00:00 29/11/1980,      0.0121,     20,      0.0100,     20,      0.0130,     20, 
00:00:00 30/11/1980,      0.0079,     20,      0.0060,     20,      0.0100,     20, 
00:00:00 01/12/1980,      0.0049,     20,      0.0045,     20,      0.0060,     20, 
00:00:00 02/12/1980,      0.0041,     20,      0.0030,     20,      0.0045,     20, 
00:00:00 03/12/1980,      0.0062,     20,      0.0025,     20,      0.0200,     20, 
00:00:00 04/12/1980,      0.1630,     20,      0.0075,     20,      0.3085,     20, 
00:00:00 05/12/1980,      0.1047,     20,      0.0760,     20,      0.1631,     20, 
00:00:00 06/12/1980,      0.0756,     20,      0.0555,     20,      0.1050,     20, 
00:00:00 07/12/1980,      0.3687,     20,      0.1050,     20,      0.5450,     20, 
00:00:00 08/12/1980,      0.1886,     20,      0.1290,     20,      0.2763,     20, 
00:00:00 09/12/1980,      0.1032,     20,      0.0860,     20,      0.1290,     20, 
00:00:00 10/12/1980,      0.0688,     20,      0.0595,     20,      0.0860,     20, 
00:00:00 11/12/1980,      0.0494,     20,      0.0400,     20,      0.0595,     20, 
00:00:00 12/12/1980,      0.0354,     20,      0.0310,     20,      0.0400,     20, 
00:00:00 13/12/1980,      0.0279,     20,      0.0265,     20,      0.0310,     20, 
00:00:00 14/12/1980,      0.0265,     20,      0.0265,     20,      0.0265,     20, 
00:00:00 15/12/1980,      0.0311,     20,      0.0265,     20,      0.0440,     20, 
00:00:00 16/12/1980,      0.1541,     20,      0.0440,     20,      0.2660,     20, 
00:00:00 17/12/1980,      0.1648,     20,      0.1160,     20,      0.2286,     20, 
00:00:00 18/12/1980,      0.0884,     20,      0.0620,     20,      0.1160,     20, 
00:00:00 19/12/1980,      0.0502,     20,      0.0405,     20,      0.0620,     20, 
00:00:00 20/12/1980,      0.0355,     20,      0.0310,     20,      0.0405,     20, 
00:00:00 21/12/1980,      0.0279,     20,      0.0265,     20,      0.0310,     20, 
00:00:00 22/12/1980,      0.0274,     20,      0.0195,     20,      0.0340,     20, 
00:00:00 23/12/1980,      0.0154,     20,      0.0125,     20,      0.0195,     20, 
00:00:00 24/12/1980,      0.0160,     20,      0.0125,     20,      0.0265,     20, 
00:00:00 25/12/1980,      0.0136,     20,      0.0125,     20,      0.0220,     20, 
00:00:00 26/12/1980,      0.0109,     20,      0.0085,     20,      0.0125,     20, 
00:00:00 27/12/1980,      0.0076,     20,      0.0075,     20,      0.0085,     20, 
00:00:00 28/12/1980,      0.0065,     20,      0.0050,     20,      0.0075,     20, 
00:00:00 29/12/1980,      0.0125,     20,      0.0045,     20,      0.0265,     20, 
00:00:00 30/12/1980,      0.6605,     20,      0.0265,     20,      1.6320,     20, 
00:00:00 31/12/1980,      0.2472,     10,      0.2090,     10,      0.6647,     10, 
00:00:00 01/01/1981,      3.0901,     10,      0.6647,     10,      8.6470,     10, 
00:00:00 02/01/1981,      2.3374,     10,      0.7784,     10,      5.4060,     10, 
00:00:00 03/01/1981,      0.5005,     10,      0.3722,     10,      0.7784,     10, 
00:00:00 04/01/1981,      0.3374,     10,      0.3002,     10,      0.3722,     10, 
00:00:00 05/01/1981,      0.2577,     10,      0.2220,     10,      0.3002,     10, 
00:00:00 06/01/1981,      0.1970,     20,      0.1690,     20,      0.2220,     20, 
00:00:00 07/01/1981,      0.1544,     20,      0.1405,     20,      0.1690,     20, 
00:00:00 08/01/1981,      0.1515,     20,      0.1275,     20,      0.2068,     20, 
00:00:00 09/01/1981,      0.2230,     20,      0.1835,     20,      0.2660,     20, 
00:00:00 10/01/1981,      0.1897,     20,      0.1535,     20,      0.2090,     20, 
00:00:00 11/01/1981,      0.1612,     20,      0.1395,     20,      0.1985,     20, 
00:00:00 12/01/1981,      0.1303,     20,      0.1275,     20,      0.1395,     20, 
00:00:00 13/01/1981,      0.1478,     20,      0.1275,     20,      0.1835,     20, 
00:00:00 14/01/1981,      0.1609,     20,      0.1435,     20,      0.1765,     20, 
00:00:00 15/01/1981,      0.1215,     20,      0.1050,     20,      0.1435,     20, 
00:00:00 16/01/1981,      0.1050,     20,      0.1050,     20,      0.1050,     20, 
00:00:00 17/01/1981,      0.1025,     20,      0.0879,     20,      0.1050,     20, 
00:00:00 18/01/1981,      0.0793,     20,      0.0690,     20,      0.0879,     20, 
00:00:00 19/01/1981,      0.0728,     20,      0.0690,     20,      0.0800,     20, 
00:00:00 20/01/1981,      0.0771,     20,      0.0683,     20,      0.0855,     20, 
00:00:00 21/01/1981,      0.0575,     20,      0.0555,     20,      0.0683,     20, 
00:00:00 22/01/1981,      0.0471,     20,      0.0340,     20,      0.0555,     20, 
00:00:00 23/01/1981,      0.0340,     20,      0.0340,     20,      0.0340,     20, 
00:00:00 24/01/1981,      0.0341,     20,      0.0340,     20,      0.0368,     20, 
00:00:00 25/01/1981,      0.0431,     20,      0.0368,     20,      0.0440,     20, 
00:00:00 26/01/1981,      0.0407,     20,      0.0360,     20,      0.0440,     20, 
00:00:00 27/01/1981,      0.0342,     20,      0.0340,     20,      0.0360,     20, 
00:00:00 28/01/1981,      0.0366,     20,      0.0340,     20,      0.0440,     20, 
00:00:00 29/01/1981,      0.0272,     20,      0.0265,     20,      0.0351,     20, 
00:00:00 30/01/1981,      0.0306,     20,      0.0265,     20,      0.0340,     20, 
00:00:00 31/01/1981,      0.0301,     20,      0.0265,     20,      0.0340,     20, 
00:00:00 01/02/1981,      0.0398,     20,      0.0311,     20,      0.0440,     20, 
00:00:00 02/02/1981,      0.0238,     20,      0.0205,     20,      0.0311,     20, 
00:00:00 03/02/1981,      0.0200,     20,      0.0200,     20,      0.0205,     20, 
00:00:00 04/02/1981,      0.0294,     20,      0.0200,     20,      0.0340,     20, 
00:00:00 05/02/1981,      0.0281,     20,      0.0265,     20,      0.0337,     20, 
00:00:00 06/02/1981,      0.0390,     20,      0.0337,     20,      0.0440,     20, 
00:00:00 07/02/1981,      0.1105,     20,      0.0440,     20,      0.2270,     20, 
00:00:00 08/02/1981,      0.2311,     20,      0.1703,     20,      0.3085,     20, 
00:00:00 09/02/1981,      0.1160,     20,      0.0800,     20,      0.1703,     20, 
00:00:00 10/02/1981,      0.0637,     20,      0.0475,     20,      0.0800,     20, 
00:00:00 11/02/1981,      0.0416,     20,      0.0340,     20,      0.0475,     20, 
00:00:00 12/02/1981,      0.0366,     20,      0.0340,     20,      0.0855,     20, 
00:00:00 13/02/1981,      0.0999,     20,      0.0340,     20,      0.2341,     20, 
00:00:00 14/02/1981,      0.2752,     10,      0.2341,     10,      0.4304,     10, 
00:00:00 15/02/1981,      7.6819,     20,      0.4304,     20,     17.2875,     20, 
00:00:00 16/02/1981,     11.6723,     20,      3.2400,     20,     23.8145,     20, 
00:00:00 17/02/1981,      3.1168,     20,      1.6285,     20,      7.4455,     20, 
00:00:00 18/02/1981,      1.0600,     20,      0.6750,     20,      1.6285,     20, 
00:00:00 19/02/1981,      0.5506,     20,      0.4611,     20,      0.6750,     20, 
00:00:00 20/02/1981,      2.8090,     20,      0.4320,     20,      7.3170,     20, 
00:00:00 21/02/1981,      1.5686,     20,      0.8202,     20,      2.7862,     20, 
00:00:00 22/02/1981,      0.9038,     20,      0.5465,     20,      6.7184,     20, 
00:00:00 23/02/1981,      3.3736,     20,      1.2068,     20,      8.2765,     20, 
00:00:00 24/02/1981,      0.8462,     20,      0.6132,     20,      1.2068,     20, 
00:00:00 25/02/1981,      0.5152,     20,      0.4415,     20,      0.6132,     20, 
00:00:00 26/02/1981,      0.4005,     20,      0.3835,     20,      0.4415,     20, 
00:00:00 27/02/1981,      0.3812,     20,      0.3805,     20,      0.4055,     20, 
00:00:00 28/02/1981,      3.8942,     20,      0.4055,     20,      7.9125,     20, 
00:00:00 01/03/1981,      2.1129,     20,      1.4097,     20,      2.7515,     20, 
00:00:00 02/03/1981,      0.9766,     20,      0.6808,     20,      1.4097,     20, 
00:00:00 03/03/1981,      0.5709,     20,      0.4916,     20,      0.6808,     20, 
00:00:00 04/03/1981,      0.4518,     20,      0.4157,     20,      0.4916,     20, 
00:00:00 05/03/1981,      0.3908,     20,      0.3645,     20,      0.4157,     20, 
00:00:00 06/03/1981,      0.3298,     20,      0.3045,     20,      0.3645,     20, 
00:00:00 07/03/1981,      0.2933,     20,      0.2825,     20,      0.3045,     20, 
00:00:00 08/03/1981,      0.2707,     20,      0.2512,     20,      0.2825,     20, 
00:00:00 09/03/1981,      0.2384,     20,      0.2285,     20,      0.2512,     20, 
00:00:00 10/03/1981,      0.2270,     20,      0.2270,     20,      0.2285,     20, 
00:00:00 11/03/1981,      0.2270,     20,      0.2270,     20,      0.2270,     20, 
00:00:00 12/03/1981,      0.2185,     20,      0.2095,     20,      0.2270,     20, 
00:00:00 13/03/1981,      0.2090,     20,      0.2090,     20,      0.2095,     20, 
00:00:00 14/03/1981,      0.1980,     20,      0.1835,     20,      0.2090,     20, 
00:00:00 15/03/1981,      0.1835,     20,      0.1835,     20,      0.1835,     20, 
00:00:00 16/03/1981,      0.1835,     20,      0.1830,     20,      0.1835,     20, 
00:00:00 17/03/1981,      0.1676,     20,      0.1535,     20,      0.1830,     20, 
00:00:00 18/03/1981,      0.1535,     20,      0.1535,     20,      0.1535,     20, 
00:00:00 19/03/1981,      0.1535,     20,      0.1520,     20,      0.1535,     20, 
00:00:00 20/03/1981,      0.1389,     20,      0.1280,     20,      0.1520,     20, 
00:00:00 21/03/1981,      0.1280,     20,      0.1280,     20,      0.1280,     20, 
00:00:00 22/03/1981,      0.1034,     20,      0.0860,     20,      0.1280,     20, 
00:00:00 23/03/1981,      0.0957,     20,      0.0860,     20,      0.1055,     20, 
00:00:00 24/03/1981,      0.0889,     20,      0.0860,     20,      0.0965,     20, 
00:00:00 25/03/1981,      0.0860,     20,      0.0860,     20,      0.0860,     20, 
00:00:00 26/03/1981,      0.0832,     20,      0.0740,     20,      0.0860,     20, 
00:00:00 27/03/1981,      0.1012,     20,      0.0695,     20,      0.1397,     20, 
00:00:00 28/03/1981,      0.1281,     20,      0.1055,     20,      0.1535,     20, 
00:00:00 29/03/1981,      0.1055,     20,      0.1055,     20,      0.1055,     20, 
00:00:00 30/03/1981,      0.1134,     20,      0.1055,     20,      0.1280,     20, 
00:00:00 31/03/1981,      0.1280,     20,      0.1280,     20,      0.1280,     20, 
00:00:00 01/04/1981,      0.2037,     20,      0.1280,     20,      0.7200,     20, 
00:00:00 02/04/1981,      2.1914,     20,      0.7200,     20,      3.7150,     20, 
00:00:00 03/04/1981,      4.6484,     20,      0.5775,     20,     16.8395,     20, 
00:00:00 04/04/1981,      3.3724,     20,      2.0525,     20,      7.1747,     20, 
00:00:00 05/04/1981,      2.2255,     20,      1.2457,     20,      3.8120,     20, 
00:00:00 06/04/1981,      1.4808,     20,      0.8605,     20,      8.2881,     20, 
00:00:00 07/04/1981,     18.7330,     20,      6.1888,     20,     49.9020,     20, 
00:00:00 08/04/1981,     10.5435,     20,      5.4625,     20,     27.9657,     20, 
00:00:00 09/04/1981,     12.0333,     20,      3.7660,     20,     31.8090,     20, 
00:00:00 10/04/1981,      2.6572,     10,      1.7472,     10,      3.7660,     10, 
00:00:00 11/04/1981,      1.2935,     10,      0.8790,     10,      1.7472,     10, 
00:00:00 12/04/1981,      0.6918,     10,      0.5715,     10,      0.8790,     10, 
00:00:00 13/04/1981,      0.4966,     10,      0.4303,     10,      0.5715,     10, 
00:00:00 14/04/1981,      0.3972,     10,      0.3635,     10,      0.4303,     10, 
00:00:00 15/04/1981,      0.3504,     10,      0.3284,     10,      0.3635,     10, 
00:00:00 16/04/1981,      0.3151,     10,      0.3040,     10,      0.3284,     10, 
00:00:00 17/04/1981,      0.2828,     10,      0.2700,     10,      0.3040,     10, 
00:00:00 18/04/1981,      0.2643,     10,      0.2630,     10,      0.2700,     10, 
00:00:00 19/04/1981,      0.2588,     10,      0.2505,     10,      0.2630,     10, 
00:00:00 20/04/1981,      0.2451,     10,      0.2440,     10,      0.2505,     10, 
00:00:00 21/04/1981,      0.2397,     10,      0.2315,     10,      0.2440,     10, 
00:00:00 22/04/1981,      0.2268,     10,      0.2260,     10,      0.2315,     10, 
00:00:00 23/04/1981,      0.2214,     10,      0.2135,     10,      0.2260,     10, 
00:00:00 24/04/1981,      0.1951,     20,      0.1830,     20,      0.2135,     20, 
00:00:00 25/04/1981,      0.1830,     20,      0.1830,     20,      0.1830,     20, 
00:00:00 26/04/1981,      0.1803,     20,      0.1700,     20,      0.1830,     20, 
00:00:00 27/04/1981,      0.1579,     20,      0.1530,     20,      0.1700,     20, 
00:00:00 28/04/1981,      0.1530,     20,      0.1530,     20,      0.1530,     20, 
00:00:00 29/04/1981,      0.1530,     20,      0.1530,     20,      0.1530,     20, 
00:00:00 30/04/1981,      0.1486,     20,      0.1340,     20,      0.1530,     20, 
00:00:00 01/05/1981,      0.1129,     20,      0.1040,     20,      0.1340,     20, 
00:00:00 02/05/1981,      0.1017,     20,      0.0945,     20,      0.1040,     20, 
00:00:00 03/05/1981,      0.0936,     20,      0.0850,     20,      0.1040,     20, 
00:00:00 04/05/1981,      0.0970,     20,      0.0875,     20,      0.1040,     20, 
00:00:00 05/05/1981,      0.0798,     20,      0.0685,     20,      0.0875,     20, 
00:00:00 06/05/1981,      0.0850,     20,      0.0850,     20,      0.0850,     20, 
00:00:00 07/05/1981,      0.0850,     20,      0.0850,     20,      0.0850,     20, 
00:00:00 08/05/1981,      0.0845,     20,      0.0810,     20,      0.0850,     20, 
00:00:00 09/05/1981,      0.0732,     20,      0.0685,     20,      0.0810,     20, 
00:00:00 10/05/1981,      0.0681,     20,      0.0650,     20,      0.0685,     20, 
00:00:00 11/05/1981,      0.0587,     20,      0.0550,     20,      0.0650,     20, 
00:00:00 12/05/1981,      0.0566,     20,      0.0550,     20,      0.0663,     20, 
00:00:00 13/05/1981,      0.0705,     20,      0.0663,     20,      0.0829,     20, 
00:00:00 14/05/1981,      0.2613,     20,      0.0829,     20,      0.3940,     20, 
00:00:00 15/05/1981,      0.2579,     10,      0.2260,     10,      0.3422,     10, 
00:00:00 16/05/1981,      0.2629,     10,      0.2260,     10,      0.2825,     10, 
00:00:00 17/05/1981,      0.2006,     20,      0.1830,     20,      0.2260,     20, 
00:00:00 18/05/1981,      0.2018,     20,      0.1830,     20,      0.2085,     20, 
00:00:00 19/05/1981,      0.1570,     20,      0.1395,     20,      0.1830,     20, 
00:00:00 20/05/1981,      0.1231,     20,      0.1040,     20,      0.1395,     20, 
00:00:00 21/05/1981,      1.1244,     20,      0.1090,     20,     10.6697,     20, 
00:00:00 22/05/1981,     16.6648,     20,      5.7060,     20,     29.9250,     20, 
00:00:00 23/05/1981,      2.6022,     10,      1.1350,     10,      5.7060,     10, 
00:00:00 24/05/1981,      0.7898,     10,      0.5260,     10,      1.1350,     10, 
00:00:00 25/05/1981,      0.4387,     10,      0.3795,     10,      0.5260,     10, 
00:00:00 26/05/1981,      0.3420,     10,      0.3160,     10,      0.3795,     10, 
00:00:00 27/05/1981,      0.2965,     10,      0.2770,     10,      0.3160,     10, 
00:00:00 28/05/1981,      0.2612,     10,      0.2500,     10,      0.2770,     10, 
00:00:00 29/05/1981,      0.2412,     10,      0.2325,     10,      0.2500,     10, 
00:00:00 30/05/1981,      0.2242,     10,      0.2160,     10,      0.2325,     10, 
00:00:00 31/05/1981,      0.2100,     10,      0.2080,     10,      0.2160,     10, 
00:00:00 01/06/1981,      4.1333,     20,      0.2080,     20,     17.2875,     20, 
00:00:00 02/06/1981,      2.3860,     10,      0.9274,     10,      6.7163,     10, 
00:00:00 03/06/1981,      0.6205,     10,      0.4495,     10,      0.9274,     10, 
00:00:00 04/06/1981,      0.4053,     10,      0.3685,     10,      0.4495,     10, 
00:00:00 05/06/1981,      0.3367,     10,      0.3060,     10,      0.3685,     10, 
00:00:00 06/06/1981,      0.2797,     10,      0.2590,     10,      0.3060,     10, 
00:00:00 07/06/1981,      0.2435,     10,      0.2325,     10,      0.2590,     10, 
00:00:00 08/06/1981,      0.2262,     10,      0.2240,     10,      0.2325,     10, 
00:00:00 09/06/1981,      0.2220,     10,      0.2160,     10,      0.2240,     10, 
00:00:00 10/06/1981,      0.2100,     10,      0.2080,     10,      0.2160,     10, 
00:00:00 11/06/1981,      0.2416,     10,      0.2080,     10,      0.2770,     10, 
00:00:00 12/06/1981,      0.2106,     20,      0.1830,     20,      0.2410,     20, 
00:00:00 13/06/1981,      0.1600,     20,      0.1525,     20,      0.1830,     20, 
