"Time","141006A","","141006A","","141006A","",""
"and","140.00","","140.00","","140.00","",""
"Date","Discharge (Cumecs)","","Discharge (Cumecs)","","Discharge (Cumecs)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 23/02/1972,      1.2646,     10,      1.0895,     10,      1.5135,     10, 
00:00:00 24/02/1972,      1.1259,     10,      0.9565,     10,      1.5135,     10, 
00:00:00 25/02/1972,      1.9970,     10,      1.5135,     10,      2.1755,     10, 
00:00:00 26/02/1972,      6.8624,     20,      2.1350,     20,     12.4880,     20, 
00:00:00 27/02/1972,      3.8752,     10,      2.4250,     10,      4.7685,     10, 
00:00:00 28/02/1972,      2.0171,     10,      1.6200,     10,      2.4250,     10, 
00:00:00 29/02/1972,      1.2917,     59,      1.0295,     59,      1.6200,     59, 
00:00:00 01/03/1972,      0.8204,     59,      0.6535,     59,      1.0295,     59, 
00:00:00 02/03/1972,      0.5413,     59,      0.4620,     59,      0.6535,     59, 
00:00:00 03/03/1972,      0.4084,     59,      0.3685,     59,      0.4620,     59, 
00:00:00 04/03/1972,      0.3418,     59,      0.3260,     59,      0.3685,     59, 
00:00:00 05/03/1972,      0.3160,     59,      0.3060,     59,      0.3260,     59, 
00:00:00 06/03/1972,      0.3012,     59,      0.2965,     59,      0.3060,     59, 
00:00:00 07/03/1972,      0.3135,     59,      0.3060,     59,      0.3160,     59, 
00:00:00 08/03/1972,     12.8904,     59,      0.3160,     59,     40.1605,     59, 
00:00:00 09/03/1972,      2.3548,     59,      1.3265,     59,      4.5550,     59, 
00:00:00 10/03/1972,      1.0545,     59,      0.8645,     59,      1.3265,     59, 
00:00:00 11/03/1972,      0.7212,     59,      0.6240,     59,      0.8645,     59, 
00:00:00 12/03/1972,      0.5605,     59,      0.5130,     59,      0.6240,     59, 
00:00:00 13/03/1972,      0.4777,     59,      0.4495,     59,      0.5130,     59, 
00:00:00 14/03/1972,      0.4256,     59,      0.4020,     59,      0.4495,     59, 
00:00:00 15/03/1972,      0.3824,     59,      0.3685,     59,      0.4020,     59, 
00:00:00 16/03/1972,      0.3551,     59,      0.3365,     59,      0.3685,     59, 
00:00:00 17/03/1972,      0.3244,     59,      0.3160,     59,      0.3365,     59, 
00:00:00 18/03/1972,      0.3241,     59,      0.3060,     59,      0.3365,     59, 
00:00:00 19/03/1972,      0.2903,     59,      0.2770,     59,      0.3060,     59, 
00:00:00 20/03/1972,      1.0032,     59,      0.2967,     59,      2.0550,     59, 
00:00:00 21/03/1972,      0.8673,     59,      0.4255,     59,      4.4451,     59, 
00:00:00 22/03/1972,      2.3381,     59,      1.1250,     59,      5.1735,     59, 
00:00:00 23/03/1972,      0.8524,     59,      0.6840,     59,      1.1250,     59, 
00:00:00 24/03/1972,      0.5892,     59,      0.5130,     59,      0.6840,     59, 
00:00:00 25/03/1972,      0.4562,     59,      0.4135,     59,      0.5130,     59, 
00:00:00 26/03/1972,      0.3824,     59,      0.3575,     59,      0.4135,     59, 
00:00:00 27/03/1972,      0.3366,     59,      0.3160,     59,      0.3575,     59, 
00:00:00 28/03/1972,      0.2988,     59,      0.2865,     59,      0.3160,     59, 
00:00:00 29/03/1972,      0.2750,     59,      0.2590,     59,      0.2865,     59, 
00:00:00 30/03/1972,      0.2435,     59,      0.2325,     59,      0.2590,     59, 
00:00:00 31/03/1972,      0.2242,     59,      0.2160,     59,      0.2325,     59, 
00:00:00 01/04/1972,      0.2100,     59,      0.2080,     59,      0.2160,     59, 
00:00:00 02/04/1972,     38.2780,     59,      0.2080,     59,    138.4410,     59, 
00:00:00 03/04/1972,     39.8165,     59,      8.0940,     59,    122.6730,     59, 
00:00:00 04/04/1972,      4.1699,     59,      2.5405,     59,      8.0940,     59, 
00:00:00 05/04/1972,      1.9358,     59,      1.4960,     59,      2.5405,     59, 
00:00:00 06/04/1972,      1.3287,     59,      1.1665,     59,      1.4960,     59, 
00:00:00 07/04/1972,      1.0307,     59,      0.9280,     59,      1.1665,     59, 
00:00:00 08/04/1972,      0.8382,     59,      0.7630,     59,      0.9280,     59, 
00:00:00 09/04/1972,      0.7074,     59,      0.6685,     59,      0.7630,     59, 
00:00:00 10/04/1972,      0.6423,     59,      0.6240,     59,      0.6685,     59, 
00:00:00 11/04/1972,      0.6023,     59,      0.5670,     59,      0.6240,     59, 
00:00:00 12/04/1972,      0.5265,     59,      0.4870,     59,      0.5670,     59, 
00:00:00 13/04/1972,      0.4529,     59,      0.4255,     59,      0.4870,     59, 
00:00:00 14/04/1972,      0.4023,     59,      0.3795,     59,      0.4255,     59, 
00:00:00 15/04/1972,      0.3604,     10,      0.3470,     10,      0.3795,     10, 
00:00:00 16/04/1972,      0.3365,     10,      0.3260,     10,      0.3470,     10, 
00:00:00 17/04/1972,      0.3160,     10,      0.3060,     10,      0.3260,     10, 
00:00:00 18/04/1972,      0.2988,     10,      0.2965,     10,      0.3060,     10, 
00:00:00 19/04/1972,      0.2940,     10,      0.2865,     10,      0.2965,     10, 
00:00:00 20/04/1972,      0.2772,     10,      0.2680,     10,      0.2865,     10, 
00:00:00 21/04/1972,      0.2590,     10,      0.2500,     10,      0.2680,     10, 
00:00:00 22/04/1972,      0.2412,     10,      0.2325,     10,      0.2500,     10, 
00:00:00 23/04/1972,      0.2242,     10,      0.2160,     10,      0.2325,     10, 
00:00:00 24/04/1972,      0.2080,     10,      0.2000,     10,      0.2160,     10, 
00:00:00 25/04/1972,      0.1832,     20,      0.1670,     20,      0.2000,     20, 
00:00:00 26/04/1972,      0.1677,     20,      0.1525,     20,      0.2000,     20, 
00:00:00 27/04/1972,      0.2160,     10,      0.2000,     10,      0.2240,     10, 
00:00:00 28/04/1972,      0.2044,     20,      0.1830,     20,      0.2160,     20, 
00:00:00 29/04/1972,      0.1600,     20,      0.1525,     20,      0.1830,     20, 
00:00:00 30/04/1972,      0.1562,     20,      0.1525,     20,      0.1670,     20, 
00:00:00 01/05/1972,      0.1970,     20,      0.1670,     20,      0.2500,     20, 
00:00:00 02/05/1972,      0.3043,     10,      0.2500,     10,      0.3365,     10, 
00:00:00 03/05/1972,      0.3551,     10,      0.3365,     10,      0.3685,     10, 
00:00:00 04/05/1972,      0.3607,     10,      0.3160,     10,      0.3795,     10, 
00:00:00 05/05/1972,      0.3078,     10,      0.2590,     10,      0.4020,     10, 
00:00:00 06/05/1972,      0.6890,     10,      0.4020,     10,      1.1980,     10, 
00:00:00 07/05/1972,      1.8213,     10,      1.1980,     10,      2.7320,     10, 
00:00:00 08/05/1972,      7.5266,     20,      1.2620,     20,     14.0255,     20, 
00:00:00 09/05/1972,      4.8979,     10,      2.8220,     10,      6.5292,     10, 
00:00:00 10/05/1972,      5.0356,     10,      2.7320,     10,      8.8335,     10, 
00:00:00 11/05/1972,      5.8418,     10,      4.3780,     10,      8.4610,     10, 
00:00:00 12/05/1972,      3.6555,     10,      2.5550,     10,      5.9580,     10, 
00:00:00 13/05/1972,      2.1638,     10,      1.9955,     10,      2.5550,     10, 
00:00:00 14/05/1972,      1.8403,     10,      1.4965,     10,      1.9955,     10, 
00:00:00 15/05/1972,      1.1676,     10,      0.9710,     10,      1.4965,     10, 
00:00:00 16/05/1972,      0.8415,     10,      0.7310,     10,      0.9710,     10, 
00:00:00 17/05/1972,      0.6434,     10,      0.5670,     10,      0.7310,     10, 
00:00:00 18/05/1972,      0.5037,     10,      0.4495,     10,      0.5670,     10, 
00:00:00 19/05/1972,      0.4053,     10,      0.3685,     10,      0.4495,     10, 
00:00:00 20/05/1972,      0.3418,     10,      0.3260,     10,      0.3685,     10, 
00:00:00 21/05/1972,      0.3137,     10,      0.2965,     10,      0.3260,     10, 
00:00:00 22/05/1972,      0.2819,     10,      0.2770,     10,      0.2965,     10, 
00:00:00 23/05/1972,      0.2770,     10,      0.2770,     10,      0.2770,     10, 
00:00:00 24/05/1972,      0.2819,     10,      0.2770,     10,      0.2965,     10, 
00:00:00 25/05/1972,      0.3037,     10,      0.2865,     10,      0.3160,     10, 
00:00:00 26/05/1972,      0.2636,     10,      0.2500,     10,      0.2865,     10, 
00:00:00 27/05/1972,      0.2412,     10,      0.2325,     10,      0.2500,     10, 
00:00:00 28/05/1972,      0.2262,     10,      0.2240,     10,      0.2325,     10, 
00:00:00 29/05/1972,      0.2241,     10,      0.2240,     10,      0.2245,     10, 
00:00:00 30/05/1972,      0.2245,     10,      0.2245,     10,      0.2245,     10, 
00:00:00 31/05/1972,      0.2377,     10,      0.2245,     10,      0.2780,     10, 
00:00:00 01/06/1972,      0.3225,     10,      0.2780,     10,      0.3380,     10, 
00:00:00 02/06/1972,      0.3328,     10,      0.3175,     10,      0.3380,     10, 
00:00:00 03/06/1972,      0.3053,     10,      0.2980,     10,      0.3175,     10, 
00:00:00 04/06/1972,      0.3080,     10,      0.2885,     10,      0.3180,     10, 
00:00:00 05/06/1972,      0.2631,     10,      0.2430,     10,      0.2885,     10, 
00:00:00 06/06/1972,      0.2280,     10,      0.2175,     10,      0.2430,     10, 
00:00:00 07/06/1972,      0.2097,     10,      0.2020,     10,      0.2175,     10, 
00:00:00 08/06/1972,      0.1899,     20,      0.1860,     20,      0.2020,     20, 
00:00:00 09/06/1972,      0.1823,     20,      0.1715,     20,      0.1860,     20, 
00:00:00 10/06/1972,      0.1603,     20,      0.1565,     20,      0.1715,     20, 
00:00:00 11/06/1972,      0.1570,     20,      0.1570,     20,      0.1570,     20, 
00:00:00 12/06/1972,      0.1573,     20,      0.1570,     20,      0.1575,     20, 
00:00:00 13/06/1972,      0.1541,     20,      0.1440,     20,      0.1575,     20, 
00:00:00 14/06/1972,      0.1342,     20,      0.1310,     20,      0.1440,     20, 
00:00:00 15/06/1972,      0.1345,     20,      0.1310,     20,      0.1445,     20, 
